H [m];qc [MPa];fs [MPa];u2 [MPa];Incl. [Deg];t [s];v [cm/s];Rf [%];Uo [MPa];qt [MPa];ft [MPa];sigmaVo [MPa];sigma'Vo [MPa];Qt [];Bq [];Rf(qc) [%];Rfd [%];soil [];UW [kN/m3];qc [MPa];fs [MPa];u2 [MPa]
11.25;5.864;0.04;-0.0048;4.5;479.110;2.564;0.632;0.000;5.864;0.037;0.207;0.000;0.000;0.0000;0.632;0.614;8;19.00;5.716;0.04;-0.0140
11.26;5.954;0.04;-0.0027;4.5;479.500;2.564;0.618;0.000;5.954;0.037;0.207;0.000;0.000;0.0000;0.618;0.584;8;19.00;5.789;0.03;-0.0129
11.27;6.056;0.04;0.0007;4.5;479.870;2.703;0.604;0.000;6.056;0.037;0.207;0.000;0.000;0.0000;0.604;0.556;8;19.00;5.949;0.03;-0.0120
11.28;6.168;0.04;0.0051;4.5;480.270;2.500;0.591;0.000;6.168;0.036;0.207;0.000;0.000;0.0000;0.591;0.582;8;19.00;6.194;0.04;-0.0105
11.29;6.286;0.04;0.0099;4.5;481.520;0.800;0.579;0.000;6.286;0.036;0.208;0.000;0.000;0.0000;0.579;0.603;8;19.00;6.190;0.04;0.0245
11.30;6.403;0.04;0.0148;4.5;482.140;1.613;0.569;0.000;6.403;0.036;0.208;0.000;0.000;0.0000;0.569;0.581;8;19.00;6.487;0.04;0.0264
11.31;6.511;0.04;0.0192;4.5;482.670;1.887;0.559;0.000;6.511;0.036;0.208;0.000;0.000;0.0000;0.559;0.586;8;19.00;6.638;0.04;0.0274
11.32;6.606;0.04;0.0228;4.5;483.140;2.128;0.551;0.000;6.606;0.036;0.208;0.000;0.000;0.0000;0.551;0.574;8;19.00;6.771;0.04;0.0283
11.33;6.684;0.04;0.0257;4.5;483.580;2.273;0.547;0.000;6.684;0.037;0.208;0.000;0.000;0.0000;0.547;0.536;8;19.00;6.853;0.04;0.0290
11.34;6.742;0.04;0.0278;4.5;484.020;2.273;0.546;0.000;6.742;0.037;0.209;0.000;0.000;0.0000;0.546;0.498;8;19.00;6.858;0.03;0.0287
11.35;6.782;0.04;0.0294;4.5;484.440;2.381;0.549;0.000;6.782;0.037;0.209;0.000;0.000;0.0000;0.549;0.494;8;19.00;6.858;0.03;0.0296
11.36;6.807;0.04;0.0305;4.5;484.840;2.500;0.558;0.000;6.807;0.038;0.209;0.000;0.000;0.0000;0.558;0.521;8;19.00;6.836;0.04;0.0308
11.37;6.819;0.04;0.0314;4.5;485.240;2.500;0.572;0.000;6.819;0.039;0.209;0.000;0.000;0.0000;0.572;0.561;8;19.00;6.836;0.04;0.0317
11.38;6.823;0.04;0.0322;4.5;485.640;2.500;0.589;0.000;6.823;0.040;0.209;0.000;0.000;0.0000;0.589;0.594;8;19.00;6.836;0.04;0.0322
11.39;6.822;0.04;0.0329;4.5;486.040;2.500;0.609;0.000;6.822;0.042;0.210;0.000;0.000;0.0000;0.609;0.610;8;19.00;6.836;0.04;0.0328
11.40;6.819;0.04;0.0337;4.5;486.440;2.500;0.631;0.000;6.819;0.043;0.210;0.000;0.000;0.0000;0.631;0.632;8;19.00;6.810;0.04;0.0335
11.41;6.816;0.04;0.0345;4.5;486.840;2.500;0.653;0.000;6.816;0.045;0.210;0.000;0.000;0.0000;0.653;0.653;8;19.00;6.806;0.04;0.0343
11.42;6.812;0.05;0.0353;4.5;487.240;2.500;0.675;0.000;6.812;0.046;0.210;0.000;0.000;0.0000;0.675;0.678;8;19.00;6.793;0.05;0.0352
11.43;6.809;0.05;0.0361;4.5;487.630;2.564;0.697;0.000;6.809;0.047;0.210;0.000;0.000;0.0000;0.697;0.703;8;19.00;6.793;0.05;0.0361
11.44;6.804;0.05;0.0368;4.5;488.030;2.500;0.717;0.000;6.804;0.049;0.210;0.000;0.000;0.0000;0.717;0.724;8;19.00;6.802;0.05;0.0368
11.45;6.796;0.05;0.0376;4.5;488.430;2.500;0.735;0.000;6.796;0.050;0.211;0.000;0.000;0.0000;0.735;0.741;8;19.00;6.819;0.05;0.0377
11.46;6.781;0.05;0.0384;4.5;488.810;2.632;0.752;0.000;6.781;0.051;0.211;0.000;0.000;0.0000;0.752;0.763;8;19.00;6.832;0.05;0.0386
11.47;6.756;0.05;0.0390;4.5;489.210;2.500;0.768;0.000;6.756;0.052;0.211;0.000;0.000;0.0000;0.768;0.791;8;19.00;6.827;0.05;0.0393
11.48;6.716;0.05;0.0397;4.5;489.600;2.564;0.782;0.000;6.716;0.053;0.211;0.000;0.000;0.0000;0.782;0.813;8;19.00;6.815;0.05;0.0401
11.49;6.658;0.05;0.0402;4.5;490.010;2.439;0.796;0.000;6.658;0.053;0.211;0.000;0.000;0.0000;0.796;0.817;8;19.00;6.789;0.05;0.0408
11.50;6.580;0.05;0.0407;4.5;490.400;2.564;0.809;0.000;6.580;0.053;0.212;0.000;0.000;0.0000;0.809;0.824;8;19.00;6.715;0.05;0.0413
11.51;6.479;0.05;0.0411;4.5;490.780;2.632;0.823;0.000;6.479;0.053;0.212;0.000;0.000;0.0000;0.823;0.831;8;19.00;6.629;0.05;0.0417
11.52;6.356;0.05;0.0414;4.5;491.180;2.500;0.838;0.000;6.356;0.053;0.212;0.000;0.000;0.0000;0.838;0.837;8;19.00;6.483;0.05;0.0417
11.53;6.211;0.05;0.0416;4.5;491.570;2.564;0.856;0.000;6.211;0.053;0.212;0.000;0.000;0.0000;0.856;0.865;8;19.00;6.319;0.05;0.0419
11.54;6.049;0.05;0.0418;4.5;491.980;2.439;0.876;0.000;6.049;0.053;0.212;0.000;0.000;0.0000;0.876;0.870;8;19.00;6.138;0.05;0.0420
11.55;5.872;0.05;0.0419;4.5;492.380;2.500;0.898;0.000;5.872;0.053;0.213;0.000;0.000;0.0000;0.898;0.892;8;19.00;5.927;0.05;0.0420
11.56;5.688;0.05;0.0420;4.5;492.780;2.500;0.922;0.000;5.688;0.052;0.213;0.000;0.000;0.0000;0.922;0.927;8;19.00;5.699;0.05;0.0421
11.57;5.503;0.05;0.0421;4.5;493.180;2.500;0.948;0.000;5.503;0.052;0.213;0.000;0.000;0.0000;0.948;0.954;7;18.50;5.488;0.05;0.0421
11.58;5.325;0.05;0.0422;4.5;493.590;2.439;0.973;0.000;5.325;0.052;0.213;0.000;0.000;0.0000;0.973;0.987;7;18.50;5.255;0.05;0.0419
11.59;5.162;0.05;0.0424;4.5;493.970;2.632;0.995;0.000;5.162;0.051;0.213;0.000;0.000;0.0000;0.995;1.013;7;18.50;5.044;0.05;0.0419
11.60;5.021;0.05;0.0426;4.5;494.370;2.500;1.013;0.000;5.021;0.051;0.213;0.000;0.000;0.0000;1.013;1.014;7;18.50;4.829;0.05;0.0420
11.61;4.909;0.05;0.0430;4.5;494.780;2.439;1.024;0.000;4.909;0.050;0.214;0.000;0.000;0.0000;1.024;1.028;7;18.50;4.721;0.05;0.0422
11.62;4.831;0.05;0.0434;4.5;495.180;2.500;1.027;0.000;4.831;0.050;0.214;0.000;0.000;0.0000;1.027;1.031;7;18.50;4.592;0.05;0.0426
11.63;4.788;0.05;0.0439;4.5;495.560;2.632;1.020;0.000;4.788;0.049;0.214;0.000;0.000;0.0000;1.020;1.018;7;18.50;4.557;0.05;0.0432
11.64;4.782;0.05;0.0445;4.5;495.940;2.632;1.003;0.000;4.782;0.048;0.214;0.000;0.000;0.0000;1.003;1.008;7;18.50;4.570;0.05;0.0442
11.65;4.808;0.05;0.0451;4.5;496.330;2.564;0.977;0.000;4.808;0.047;0.214;0.000;0.000;0.0000;0.977;0.989;7;18.50;4.635;0.05;0.0451
11.66;4.862;0.05;0.0456;4.5;496.710;2.632;0.944;0.000;4.862;0.046;0.215;0.000;0.000;0.0000;0.944;0.963;7;18.50;4.738;0.05;0.0463
11.67;4.936;0.04;0.0458;4.5;497.110;2.500;0.905;0.000;4.936;0.045;0.215;0.000;0.000;0.0000;0.905;0.923;7;18.50;4.889;0.05;0.0473
11.68;5.021;0.04;0.0458;4.5;497.520;2.439;0.864;0.000;5.021;0.043;0.215;0.000;0.000;0.0000;0.864;0.888;7;18.50;5.001;0.04;0.0479
11.69;5.107;0.04;0.0452;4.5;497.910;2.564;0.823;0.000;5.107;0.042;0.215;0.000;0.000;0.0000;0.823;0.842;8;19.00;5.156;0.04;0.0480
11.70;5.187;0.04;0.0441;4.5;498.310;2.500;0.783;0.000;5.187;0.041;0.215;0.000;0.000;0.0000;0.783;0.776;8;19.00;5.320;0.04;0.0474
11.71;5.254;0.04;0.0422;4.5;498.710;2.500;0.748;0.000;5.254;0.039;0.216;0.000;0.000;0.0000;0.748;0.721;8;19.00;5.410;0.04;0.0476
11.72;5.305;0.04;0.0399;4.5;499.110;2.500;0.717;0.000;5.305;0.038;0.216;0.000;0.000;0.0000;0.717;0.686;8;19.00;5.453;0.04;0.0478
11.73;5.337;0.04;0.0371;4.5;499.510;2.500;0.691;0.000;5.337;0.037;0.216;0.000;0.000;0.0000;0.691;0.677;8;19.00;5.453;0.04;0.0451
11.74;5.354;0.04;0.0341;4.5;499.890;2.632;0.670;0.000;5.354;0.036;0.216;0.000;0.000;0.0000;0.670;0.663;8;19.00;5.453;0.04;0.0311
11.75;5.362;0.03;0.0314;4.5;500.290;2.500;0.653;0.000;5.362;0.035;0.216;0.000;0.000;0.0000;0.653;0.658;8;19.00;5.384;0.04;0.0219
11.76;5.366;0.03;0.0291;4.5;500.690;2.500;0.638;0.000;5.366;0.034;0.216;0.000;0.000;0.0000;0.638;0.637;8;19.00;5.346;0.03;0.0200
11.77;5.376;0.03;0.0276;4.5;501.090;2.500;0.626;0.000;5.376;0.034;0.217;0.000;0.000;0.0000;0.626;0.611;8;19.00;5.285;0.03;0.0211
11.78;5.398;0.03;0.0269;4.5;501.480;2.564;0.616;0.000;5.398;0.033;0.217;0.000;0.000;0.0000;0.616;0.588;8;19.00;5.242;0.03;0.0225
11.79;5.438;0.03;0.0270;4.5;501.880;2.500;0.606;0.000;5.438;0.033;0.217;0.000;0.000;0.0000;0.606;0.577;8;19.00;5.251;0.03;0.0242
11.80;5.497;0.03;0.0278;4.5;502.280;2.500;0.597;0.000;5.497;0.033;0.217;0.000;0.000;0.0000;0.597;0.569;8;19.00;5.324;0.03;0.0262
11.81;5.574;0.03;0.0291;4.5;502.680;2.500;0.589;0.000;5.574;0.033;0.217;0.000;0.000;0.0000;0.589;0.568;8;19.00;5.445;0.03;0.0284
11.82;5.663;0.03;0.0307;4.5;503.090;2.439;0.581;0.000;5.663;0.033;0.218;0.000;0.000;0.0000;0.581;0.575;8;19.00;5.600;0.03;0.0303
11.83;5.754;0.03;0.0325;4.5;503.490;2.500;0.574;0.000;5.754;0.033;0.218;0.000;0.000;0.0000;0.574;0.592;8;19.00;5.785;0.03;0.0324
11.84;5.835;0.03;0.0343;4.5;503.870;2.632;0.569;0.000;5.835;0.033;0.218;0.000;0.000;0.0000;0.569;0.593;8;19.00;5.988;0.03;0.0351
11.85;5.894;0.03;0.0360;4.5;504.270;2.500;0.566;0.000;5.894;0.033;0.218;0.000;0.000;0.0000;0.566;0.581;8;19.00;6.091;0.03;0.0367
11.86;5.919;0.03;0.0376;4.5;504.670;2.500;0.567;0.000;5.919;0.034;0.218;0.000;0.000;0.0000;0.567;0.562;8;19.00;6.216;0.03;0.0390
11.87;5.902;0.03;0.0390;4.5;505.070;2.500;0.573;0.000;5.902;0.034;0.219;0.000;0.000;0.0000;0.573;0.554;8;19.00;6.229;0.03;0.0404
11.88;5.839;0.03;0.0402;4.5;505.480;2.439;0.585;0.000;5.839;0.034;0.219;0.000;0.000;0.0000;0.585;0.562;8;19.00;6.173;0.03;0.0418
11.89;5.731;0.03;0.0412;4.5;505.880;2.500;0.604;0.000;5.731;0.035;0.219;0.000;0.000;0.0000;0.604;0.581;8;19.00;6.026;0.03;0.0425
11.90;5.584;0.04;0.0420;4.5;506.280;2.500;0.629;0.000;5.584;0.035;0.219;0.000;0.000;0.0000;0.629;0.622;8;19.00;5.781;0.03;0.0428
11.91;5.408;0.04;0.0427;4.5;506.680;2.500;0.661;0.000;5.408;0.036;0.219;0.000;0.000;0.0000;0.661;0.664;8;19.00;5.501;0.04;0.0432
11.92;5.215;0.04;0.0433;4.5;507.080;2.500;0.697;0.000;5.215;0.036;0.220;0.000;0.000;0.0000;0.697;0.707;8;19.00;5.186;0.04;0.0435
11.93;5.017;0.04;0.0438;4.5;507.480;2.500;0.736;0.000;5.017;0.037;0.220;0.000;0.000;0.0000;0.736;0.754;8;19.00;4.902;0.04;0.0436
11.94;4.827;0.04;0.0443;4.5;507.880;2.500;0.775;0.000;4.827;0.037;0.220;0.000;0.000;0.0000;0.775;0.791;7;18.50;4.665;0.04;0.0439
11.95;4.654;0.04;0.0449;4.5;508.280;2.500;0.811;0.000;4.654;0.038;0.220;0.000;0.000;0.0000;0.811;0.827;7;18.50;4.480;0.04;0.0442
11.96;4.505;0.04;0.0455;4.5;508.680;2.500;0.843;0.000;4.505;0.038;0.220;0.000;0.000;0.0000;0.843;0.855;7;18.50;4.338;0.04;0.0448
11.97;4.384;0.04;0.0461;4.5;509.090;2.439;0.868;0.000;4.384;0.038;0.220;0.000;0.000;0.0000;0.868;0.877;7;18.50;4.226;0.04;0.0457
11.98;4.292;0.04;0.0467;4.5;509.480;2.564;0.885;0.000;4.292;0.038;0.221;0.000;0.000;0.0000;0.885;0.900;7;18.50;4.144;0.04;0.0468
11.99;4.231;0.04;0.0472;4.5;509.870;2.564;0.893;0.000;4.231;0.038;0.221;0.000;0.000;0.0000;0.893;0.909;7;18.50;4.092;0.04;0.0477
12.00;4.199;0.04;0.0475;4.5;510.270;2.500;0.890;0.000;4.199;0.037;0.221;0.000;0.000;0.0000;0.890;0.910;7;18.50;4.066;0.04;0.0486
12.01;4.195;0.04;0.0475;4.5;510.670;2.500;0.878;0.000;4.195;0.037;0.221;0.000;0.000;0.0000;0.878;0.904;7;18.50;4.066;0.04;0.0492
12.02;4.220;0.04;0.0468;4.5;511.060;2.564;0.857;0.000;4.220;0.036;0.221;0.000;0.000;0.0000;0.857;0.885;7;18.50;4.084;0.04;0.0499
12.03;4.271;0.04;0.0454;4.5;511.460;2.500;0.827;0.000;4.271;0.035;0.222;0.000;0.000;0.0000;0.827;0.851;7;18.50;4.131;0.04;0.0509
12.04;4.349;0.03;0.0430;4.5;511.860;2.500;0.790;0.000;4.349;0.034;0.222;0.000;0.000;0.0000;0.790;0.806;7;18.50;4.213;0.04;0.0494
12.05;4.451;0.03;0.0397;4.5;512.260;2.500;0.748;0.000;4.451;0.033;0.222;0.000;0.000;0.0000;0.748;0.752;7;18.50;4.316;0.03;0.0476
12.06;4.575;0.03;0.0355;4.5;512.660;2.500;0.703;0.000;4.575;0.032;0.222;0.000;0.000;0.0000;0.703;0.691;8;19.00;4.437;0.03;0.0464
12.07;4.715;0.03;0.0306;4.5;513.050;2.564;0.657;0.000;4.715;0.031;0.222;0.000;0.000;0.0000;0.657;0.642;8;19.00;4.609;0.03;0.0392
12.08;4.866;0.03;0.0254;4.5;513.460;2.439;0.611;0.000;4.866;0.030;0.222;0.000;0.000;0.0000;0.611;0.608;8;19.00;4.863;0.03;0.0201
12.09;5.020;0.03;0.0203;4.5;513.850;2.564;0.568;0.000;5.020;0.029;0.223;0.000;0.000;0.0000;0.568;0.584;8;19.00;5.053;0.03;0.0104
12.10;5.168;0.03;0.0157;4.5;514.250;2.500;0.529;0.000;5.168;0.027;0.223;0.000;0.000;0.0000;0.529;0.535;8;19.00;5.247;0.03;0.0063
12.11;5.304;0.03;0.0119;4.5;514.650;2.500;0.494;0.000;5.304;0.026;0.223;0.000;0.000;0.0000;0.494;0.495;8;19.00;5.423;0.03;0.0056
12.12;5.417;0.03;0.0090;4.5;515.050;2.500;0.465;0.000;5.417;0.025;0.223;0.000;0.000;0.0000;0.465;0.454;8;19.00;5.587;0.02;0.0046
12.13;5.502;0.02;0.0071;4.5;515.450;2.500;0.441;0.000;5.502;0.024;0.223;0.000;0.000;0.0000;0.441;0.413;8;19.00;5.708;0.02;0.0026
12.14;5.554;0.02;0.0061;4.5;515.850;2.500;0.424;0.000;5.554;0.024;0.224;0.000;0.000;0.0000;0.424;0.397;8;19.00;5.768;0.02;0.0030
12.15;5.571;0.02;0.0059;4.5;516.250;2.500;0.415;0.000;5.571;0.023;0.224;0.000;0.000;0.0000;0.415;0.390;8;19.00;5.798;0.02;0.0034
12.16;5.551;0.02;0.0062;4.5;516.650;2.500;0.415;0.000;5.551;0.023;0.224;0.000;0.000;0.0000;0.415;0.373;8;19.00;5.755;0.02;0.0047
12.17;5.498;0.02;0.0070;4.5;517.050;2.500;0.424;0.000;5.498;0.023;0.224;0.000;0.000;0.0000;0.424;0.395;8;19.00;5.664;0.02;0.0057
12.18;5.416;0.02;0.0081;4.5;517.440;2.564;0.443;0.000;5.416;0.024;0.224;0.000;0.000;0.0000;0.443;0.397;8;19.00;5.583;0.02;0.0070
12.19;5.313;0.03;0.0095;4.5;517.840;2.500;0.471;0.000;5.313;0.025;0.225;0.000;0.000;0.0000;0.471;0.419;8;19.00;5.428;0.02;0.0085
12.20;5.196;0.03;0.0110;4.5;518.250;2.439;0.510;0.000;5.196;0.027;0.225;0.000;0.000;0.0000;0.510;0.457;8;19.00;5.186;0.02;0.0101
12.21;5.072;0.03;0.0128;4.5;518.640;2.564;0.558;0.000;5.072;0.028;0.225;0.000;0.000;0.0000;0.558;0.524;8;19.00;4.971;0.03;0.0119
12.22;4.948;0.03;0.0147;4.5;519.040;2.500;0.614;0.000;4.948;0.030;0.225;0.000;0.000;0.0000;0.614;0.597;8;19.00;4.833;0.03;0.0141
12.23;4.828;0.03;0.0167;4.5;519.430;2.564;0.676;0.000;4.828;0.033;0.225;0.000;0.000;0.0000;0.676;0.678;8;19.00;4.777;0.03;0.0172
12.24;4.713;0.03;0.0191;4.5;519.820;2.564;0.742;0.000;4.713;0.035;0.226;0.000;0.000;0.0000;0.742;0.740;7;18.50;4.704;0.03;0.0197
12.25;4.604;0.04;0.0219;4.5;520.220;2.500;0.809;0.000;4.604;0.037;0.226;0.000;0.000;0.0000;0.809;0.813;7;18.50;4.575;0.04;0.0217
12.26;4.499;0.04;0.0252;4.5;520.620;2.500;0.877;0.000;4.499;0.039;0.226;0.000;0.000;0.0000;0.877;0.904;7;18.50;4.501;0.04;0.0215
12.27;4.398;0.04;0.0289;4.5;521.030;2.439;0.942;0.000;4.398;0.041;0.226;0.000;0.000;0.0000;0.942;0.997;7;18.50;4.437;0.04;0.0184
12.28;4.299;0.04;0.0330;4.5;521.430;2.500;1.003;0.000;4.299;0.043;0.226;0.000;0.000;0.0000;1.003;1.069;7;18.50;4.325;0.05;0.0181
12.29;4.201;0.04;0.0370;4.5;522.510;0.926;1.061;0.000;4.201;0.045;0.226;0.000;0.000;0.0000;1.061;1.127;7;18.50;4.152;0.05;0.0459
12.30;4.107;0.05;0.0407;4.5;523.100;1.695;1.115;0.000;4.107;0.046;0.227;0.000;0.000;0.0000;1.115;1.142;7;18.50;4.092;0.05;0.0486
12.31;4.020;0.05;0.0433;4.5;523.620;1.923;1.165;0.000;4.020;0.047;0.227;0.000;0.000;0.0000;1.165;1.148;7;18.50;4.006;0.05;0.0527
12.32;3.945;0.05;0.0445;4.5;524.080;2.174;1.209;0.000;3.945;0.048;0.227;0.000;0.000;0.0000;1.209;1.181;7;18.50;3.898;0.05;0.0539
12.33;3.887;0.05;0.0439;4.5;524.520;2.273;1.247;0.000;3.887;0.048;0.227;0.000;0.000;0.0000;1.247;1.257;7;18.50;3.778;0.05;0.0578
12.34;3.856;0.05;0.0414;4.5;524.940;2.381;1.274;0.000;3.856;0.049;0.227;0.000;0.000;0.0000;1.274;1.319;7;18.50;3.687;0.05;0.0641
12.35;3.861;0.05;0.0373;4.5;525.330;2.564;1.287;0.000;3.861;0.050;0.228;0.000;0.000;0.0000;1.287;1.318;7;18.50;3.640;0.05;0.0564
12.36;3.913;0.05;0.0321;4.5;525.730;2.500;1.280;0.000;3.913;0.050;0.228;0.000;0.000;0.0000;1.280;1.261;7;18.50;3.666;0.05;0.0297
12.37;4.020;0.05;0.0265;4.5;526.150;2.381;1.251;0.000;4.020;0.050;0.228;0.000;0.000;0.0000;1.251;1.246;7;18.50;3.687;0.05;0.0124
12.38;4.185;0.05;0.0214;4.5;526.560;2.439;1.198;0.000;4.185;0.050;0.228;0.000;0.000;0.0000;1.198;1.226;7;18.50;3.717;0.05;0.0042
12.39;4.404;0.05;0.0171;4.5;526.950;2.564;1.127;0.000;4.404;0.050;0.228;0.000;0.000;0.0000;1.127;1.197;7;18.50;3.829;0.05;0.0114
12.40;4.667;0.05;0.0143;4.5;527.350;2.500;1.043;0.000;4.667;0.049;0.228;0.000;0.000;0.0000;1.043;1.169;7;18.50;4.260;0.06;0.0098
12.41;4.954;0.05;0.0131;4.5;527.740;2.564;0.955;0.000;4.954;0.047;0.229;0.000;0.000;0.0000;0.955;0.976;7;18.50;4.984;0.05;-0.0001
12.42;5.240;0.05;0.0134;4.5;528.140;2.500;0.869;0.000;5.240;0.046;0.229;0.000;0.000;0.0000;0.869;0.886;8;19.00;5.466;0.05;-0.0002
12.43;5.503;0.04;0.0149;4.5;528.540;2.500;0.791;0.000;5.503;0.044;0.229;0.000;0.000;0.0000;0.791;0.842;8;19.00;6.100;0.05;0.0119
12.44;5.721;0.04;0.0172;4.5;528.940;2.500;0.723;0.000;5.721;0.041;0.229;0.000;0.000;0.0000;0.723;0.715;8;19.00;6.298;0.04;0.0174
12.45;5.883;0.04;0.0201;4.5;529.330;2.564;0.668;0.000;5.883;0.039;0.229;0.000;0.000;0.0000;0.668;0.643;8;19.00;6.332;0.04;0.0222
12.46;5.985;0.04;0.0231;4.5;529.740;2.439;0.626;0.000;5.985;0.037;0.230;0.000;0.000;0.0000;0.626;0.595;8;19.00;6.311;0.04;0.0273
12.47;6.033;0.04;0.0261;4.5;530.140;2.500;0.596;0.000;6.033;0.036;0.230;0.000;0.000;0.0000;0.596;0.562;8;19.00;6.220;0.03;0.0293
12.48;6.041;0.03;0.0288;4.5;530.540;2.500;0.577;0.000;6.041;0.035;0.230;0.000;0.000;0.0000;0.577;0.502;8;19.00;6.117;0.03;0.0307
12.49;6.024;0.03;0.0312;4.5;530.940;2.500;0.569;0.000;6.024;0.034;0.230;0.000;0.000;0.0000;0.569;0.502;8;19.00;6.013;0.03;0.0323
12.50;6.002;0.03;0.0333;4.5;531.340;2.500;0.569;0.000;6.002;0.034;0.230;0.000;0.000;0.0000;0.569;0.517;8;19.00;5.914;0.03;0.0337
12.51;5.992;0.03;0.0354;4.5;531.740;2.500;0.574;0.000;5.992;0.034;0.231;0.000;0.000;0.0000;0.574;0.548;8;19.00;5.828;0.03;0.0351
12.52;6.009;0.03;0.0374;4.5;532.130;2.564;0.581;0.000;6.009;0.035;0.231;0.000;0.000;0.0000;0.581;0.590;8;19.00;5.785;0.04;0.0365
12.53;6.067;0.04;0.0394;4.5;532.510;2.632;0.587;0.000;6.067;0.036;0.231;0.000;0.000;0.0000;0.587;0.598;8;19.00;5.794;0.04;0.0384
12.54;6.177;0.04;0.0415;4.5;532.910;2.500;0.589;0.000;6.177;0.036;0.231;0.000;0.000;0.0000;0.589;0.599;8;19.00;5.845;0.04;0.0405
12.55;6.343;0.04;0.0437;4.5;533.300;2.564;0.586;0.000;6.343;0.037;0.231;0.000;0.000;0.0000;0.586;0.596;8;19.00;5.975;0.04;0.0429
12.56;6.569;0.04;0.0459;4.5;533.700;2.500;0.577;0.000;6.569;0.038;0.232;0.000;0.000;0.0000;0.577;0.570;8;19.00;6.164;0.04;0.0452
12.57;6.848;0.04;0.0482;4.5;534.090;2.564;0.562;0.000;6.848;0.038;0.232;0.000;0.000;0.0000;0.562;0.543;8;19.00;6.457;0.04;0.0479
12.58;7.168;0.04;0.0503;4.5;534.500;2.439;0.544;0.000;7.168;0.039;0.232;0.000;0.000;0.0000;0.544;0.557;8;19.00;6.875;0.04;0.0515
12.59;7.509;0.04;0.0523;4.5;534.900;2.500;0.523;0.000;7.509;0.039;0.232;0.000;0.000;0.0000;0.523;0.559;8;19.00;7.418;0.04;0.0549
12.60;7.847;0.04;0.0540;4.5;535.310;2.439;0.502;0.000;7.847;0.039;0.232;0.000;0.000;0.0000;0.502;0.514;8;19.00;8.038;0.04;0.0569
12.61;8.155;0.04;0.0554;4.5;535.710;2.500;0.484;0.000;8.155;0.039;0.232;0.000;0.000;0.0000;0.484;0.501;8;19.00;8.581;0.04;0.0578
12.62;8.408;0.04;0.0565;4.5;536.100;2.564;0.469;0.000;8.408;0.039;0.233;0.000;0.000;0.0000;0.469;0.479;8;19.00;8.999;0.04;0.0581
12.63;8.589;0.04;0.0574;4.5;536.500;2.500;0.458;0.000;8.589;0.039;0.233;0.000;0.000;0.0000;0.458;0.457;8;19.00;9.270;0.04;0.0593
12.64;8.685;0.04;0.0581;4.5;536.890;2.564;0.454;0.000;8.685;0.039;0.233;0.000;0.000;0.0000;0.454;0.438;8;19.00;9.283;0.04;0.0567
12.65;8.696;0.04;0.0587;4.5;537.290;2.500;0.456;0.000;8.696;0.040;0.233;0.000;0.000;0.0000;0.456;0.432;8;19.00;9.175;0.04;0.0575
12.66;8.628;0.04;0.0591;4.5;537.690;2.500;0.464;0.000;8.628;0.040;0.233;0.000;0.000;0.0000;0.464;0.435;8;19.00;8.943;0.04;0.0591
12.67;8.492;0.04;0.0593;4.5;538.090;2.500;0.480;0.000;8.492;0.041;0.234;0.000;0.000;0.0000;0.480;0.455;8;19.00;8.693;0.04;0.0614
12.68;8.303;0.04;0.0595;4.5;538.470;2.632;0.502;0.000;8.303;0.042;0.234;0.000;0.000;0.0000;0.502;0.487;8;19.00;8.413;0.04;0.0617
12.69;8.074;0.04;0.0595;4.5;538.870;2.500;0.529;0.000;8.074;0.043;0.234;0.000;0.000;0.0000;0.529;0.523;8;19.00;8.124;0.04;0.0604
12.70;7.814;0.04;0.0593;4.5;539.260;2.564;0.562;0.000;7.814;0.044;0.234;0.000;0.000;0.0000;0.562;0.568;8;19.00;7.840;0.04;0.0597
12.71;7.530;0.05;0.0591;4.5;539.660;2.500;0.600;0.000;7.530;0.045;0.234;0.000;0.000;0.0000;0.600;0.611;8;19.00;7.581;0.05;0.0592
12.72;7.222;0.05;0.0587;4.5;540.050;2.564;0.642;0.000;7.222;0.046;0.235;0.000;0.000;0.0000;0.642;0.650;8;19.00;7.375;0.05;0.0589
12.73;6.891;0.05;0.0582;4.5;540.450;2.500;0.689;0.000;6.891;0.047;0.235;0.000;0.000;0.0000;0.689;0.695;8;19.00;7.004;0.05;0.0583
12.74;6.534;0.05;0.0576;4.5;540.850;2.500;0.741;0.000;6.534;0.048;0.235;0.000;0.000;0.0000;0.741;0.753;8;19.00;6.750;0.05;0.0579
12.75;6.151;0.05;0.0570;4.5;541.230;2.632;0.801;0.000;6.151;0.049;0.235;0.000;0.000;0.0000;0.801;0.821;8;19.00;6.345;0.05;0.0575
12.76;5.743;0.05;0.0565;4.5;541.620;2.564;0.871;0.000;5.743;0.050;0.235;0.000;0.000;0.0000;0.871;0.886;8;19.00;5.919;0.05;0.0565
12.77;5.316;0.05;0.0561;4.5;542.020;2.500;0.953;0.000;5.316;0.051;0.236;0.000;0.000;0.0000;0.953;0.971;8;18.50;5.432;0.05;0.0559
12.78;4.877;0.05;0.0560;4.5;542.390;2.703;1.051;0.000;4.877;0.051;0.236;0.000;0.000;0.0000;1.051;1.063;8;18.50;4.932;0.05;0.0546
12.79;4.439;0.05;0.0563;4.5;542.780;2.564;1.169;0.000;4.439;0.052;0.236;0.000;0.000;0.0000;1.169;1.158;8;18.50;4.385;0.05;0.0538
