Projektnummer           ;FCH-23250 - Geoterra Kft. - Ferihegy;;;
Sondierung              ;C10100/2;;;
Projektbezeichnung      ;;;;
Datum der Sondierung    ;04.dec.23;;;
;;;;
   Tiefe;    Conus;  Reibung; PW-Druck;       Rf
     (m);    (MPa);    (MPa);    (MPa);      (%)
5,56;25,774;0,1191;-0,0097;0,4687
5,58;28,9867;0,124;-0,0094;0,4327
5,6;32,5923;0,1722;-0,0047;0,538
5,62;33,8945;0,2014;-0,0031;0,5956
5,64;34,5525;0,2292;-0,0024;0,6674
5,66;36,6112;0,252;-0,0029;0,6994
5,68;38,1818;0,2469;-0,0029;0,652
5,7;36,8845;0,2554;-0,0017;0,6869
5,72;35,3038;0,3105;-0,0032;0,8852
5,74;34,7426;0,3095;-0,0024;0,886
5,76;36,1819;0,27;-0,0027;0,7593
5,78;35,1927;0,3482;-0,0044;0,9848
5,8;34,6252;0,3765;-0,0011;1,0755
5,82;32,0869;0,4179;-0,003;1,2754
5,84;29,7859;0,4021;-0,0031;1,34
5,86;28,5834;0,3875;-0,005;1,3372
5,88;22,786;0,4094;0,0031;1,8095
5,9;24,5332;0,4281;0,0033;1,8295
5,92;27,6297;0,3572;-0,002;1,3246
5,94;29,6708;0,3354;-0,0051;1,1625
5,96;29,1481;0,2465;-0,002;0,8246
5,98;28,6377;0,2003;-0,0021;0,6963
6;28,7289;0,1659;-0,0031;0,5791
6,02;29,061;0,1398;-0,002;0,4857
6,04;30,1113;0,1208;-0,0028;0,4014
6,06;30,8346;0,1439;-0,0026;0,4696
6,08;31,5041;0,1282;-0,0022;0,4056
6,1;31,1995;0,1191;-0,003;0,3784
6,12;31,3701;0,1099;-0,0026;0,3513
6,14;30,8006;0,1007;-0,0021;0,3241
6,16;28,8371;0,0948;-0,0044;0,3162
6,18;26,1103;0,1088;-0,0019;0,4078
6,2;26,8254;0,1174;-0,0021;0,4448
6,22;27,457;0,1284;-0,0023;0,4864
6,24;28,0885;0,1585;-0,0025;0,6004
6,26;28,7201;0,1711;-0,0034;0,621
6,28;29,6202;0,1795;-0,0029;0,6072
6,3;31,2859;0,1662;-0,0033;0,5381
6,32;32,6434;0,1573;-0,003;0,4841
6,34;32,8403;0,1644;-0,0026;0,504
6,36;34,6465;0,1822;-0,0023;0,5266
6,38;34,56;0,2806;-0,0022;0,8129
6,4;35,3855;0,252;-0,0029;0,7161
6,42;36,2056;0,2568;-0,0034;0,7086
6,44;37,8088;0,2702;-0,0033;0,718
6,46;36,9456;0,2885;-0,0027;0,8097
6,48;36,8501;0,268;-0,0025;0,7136
